Marka,Model,Seri,Yıl,Kilometre,Renk,Fiyat,Yer,Yakıt Tipi,Vites Tipi,Kasa Tipi,Motor Hacmi,Motor Gücü,Yakıt Deposu,Çekiş,Kimden
Fiat,1.3 Multijet Urban,Linea,2015.0,142000.0,Beyaz,565000.0,"Hürriyet Mh. Orhangazi, Bursa",Dizel,Düz,Sedan,1201 - 1400 cm3,76 - 100 HP,,Önden Çekiş,Galeriden
Fiat,1.4 Fire Active,Albea,2007.0,171000.0,Sarı,190000.0,"Sarıoğlu Mh. Çine, Aydın",LPG & Benzin,Düz,Sedan,1368 cc,77 hp,45 lt,Önden Çekiş,Galeriden
Fiat,Grande 1.3 Multijet Active,Punto,2009.0,199000.0,Gri (titanyum),410000.0,"Uğur Mumcu Mh. Sultangazi, İstanbul",Dizel,Düz,Hatchback/5,1248 cc,75 hp,45 lt,Önden Çekiş,Galeriden
Fiat,1.3 Multijet Easy Stil,Egea,2021.0,127000.0,Beyaz,715750.0,"Sarıcalı Mh. Çarşamba, Samsun",Dizel,Düz,Sedan,1248 cc,95 hp,,Önden Çekiş,Galeriden
Fiat,1.3 Multijet Active Plus,Linea,2010.0,192867.0,Beyaz,405000.0,"Ataevler Mh. Nilüfer, Bursa",Dizel,Düz,Sedan,1248 cc,90 hp,45 lt,Önden Çekiş,Galeriden
Fiat,1.3 Multijet Active,Albea,2005.0,407000.0,Gri,335000.0,"İspat Cami Mh. Keşan, Edirne",Dizel,Düz,Sedan,1248 cc,70 hp,48 lt,Önden Çekiş,Galeriden
Fiat,1.3 Multijet Easy,Egea,2018.0,223000.0,Beyaz,548000.0,"Emek Mh. Çankaya, Ankara",Dizel,Düz,Sedan,1248 cc,95 hp,45 lt,Önden Çekiş,Galeriden
Fiat,1.3 Multijet Easy,Egea,2020.0,107500.0,Beyaz,695900.0,"Kaleiçi Mh. Çatalca, İstanbul",Dizel,Düz,Sedan,1248 cc,95 hp,45 lt,Önden Çekiş,Galeriden
Fiat,1.3 Multijet Urban Plus,Egea,2020.0,75000.0,Beyaz,820000.0,"Hamidiye Mh. Edremit, Balıkesir",Dizel,Düz,Sedan,1248 cc,95 hp,45 lt,Önden Çekiş,Galeriden
,,,,,,,,,,,,,,,
Fiat,1.3 Multijet Urban,Egea,2022.0,59000.0,Beyaz,725000.0,"Basınevleri Mh. Keçiören, Ankara",Dizel,Düz,Sedan,1248 cc,95 hp,50 lt,Önden Çekiş,Galeriden
